iter	Passed	Remaining
0	131	131545
1	132	66138
2	133	44294
3	133	33362
4	134	26805
5	135	22422
6	135	19287
7	136	16982
8	137	15160
9	138	13694
10	139	12501
11	139	11506
12	140	10662
13	141	9938
14	141	9312
15	142	8780
16	143	8301
17	144	7873
18	144	7485
19	145	7137
20	146	6821
21	146	6534
22	147	6271
23	148	6030
24	149	5819
25	149	5617
26	150	5426
27	151	5250
28	151	5087
29	152	4934
30	153	4791
31	153	4657
32	154	4535
33	155	4418
34	156	4305
35	156	4201
36	157	4105
37	158	4010
38	159	3919
39	159	3833
40	160	3751
41	161	3675
42	161	3602
43	162	3532
44	163	3464
45	163	3400
46	164	3338
47	165	3277
48	165	3220
49	166	3165
50	167	3113
51	168	3062
52	168	3013
53	169	2967
54	170	2921
55	170	2877
56	171	2836
57	172	2795
58	172	2756
59	173	2720
60	174	2684
61	175	2648
62	175	2613
63	176	2580
64	177	2547
65	177	2515
66	178	2486
67	179	2457
68	180	2428
69	180	2400
70	181	2372
71	181	2345
72	182	2318
73	183	2292
74	183	2268
75	184	2244
76	185	2221
77	186	2200
78	186	2178
79	187	2156
80	188	2135
81	188	2115
82	189	2092
83	190	2073
84	190	2053
85	191	2035
86	192	2017
87	192	1999
88	193	1981
89	194	1964
90	194	1946
91	195	1930
92	196	1913
93	196	1897
94	197	1883
95	198	1868
96	199	1853
97	199	1838
98	200	1823
99	201	1809
100	201	1795
101	202	1782
102	203	1769
103	203	1757
104	204	1744
105	205	1731
106	205	1718
107	206	1706
108	207	1694
109	207	1682
110	208	1670
111	209	1659
112	209	1647
113	210	1639
114	211	1628
115	212	1618
116	212	1606
117	213	1596
118	214	1586
119	214	1576
120	215	1566
121	216	1557
122	217	1549
123	217	1539
124	218	1530
125	219	1521
126	219	1511
127	220	1503
128	221	1495
129	222	1486
130	222	1478
131	223	1471
132	224	1463
133	225	1455
134	225	1447
135	226	1439
136	227	1431
137	227	1423
138	228	1417
139	229	1410
140	230	1403
141	230	1394
142	231	1387
143	232	1380
144	233	1374
145	233	1367
146	234	1363
147	235	1357
148	236	1350
149	237	1344
150	237	1338
151	238	1332
152	239	1325
153	240	1319
154	241	1314
155	242	1309
156	242	1304
157	243	1298
158	244	1293
159	245	1287
160	245	1280
161	247	1280
162	249	1279
163	249	1274
164	250	1268
165	251	1263
166	252	1257
167	252	1252
168	253	1246
169	254	1241
170	254	1236
171	255	1230
172	256	1225
173	257	1220
174	257	1214
175	258	1209
176	259	1205
177	259	1199
178	260	1194
179	261	1189
180	261	1185
181	262	1179
182	263	1174
183	263	1170
184	264	1165
185	265	1160
186	265	1156
187	266	1151
188	267	1146
189	267	1141
190	268	1137
191	269	1132
192	269	1128
193	270	1124
194	271	1119
195	271	1115
196	272	1110
197	273	1106
198	273	1102
199	274	1097
200	275	1093
201	275	1089
202	276	1084
203	277	1080
204	277	1078
205	278	1074
206	279	1069
207	279	1065
208	280	1062
209	281	1057
210	281	1054
211	282	1050
212	283	1046
213	283	1042
214	284	1038
215	285	1035
216	285	1031
217	286	1027
218	287	1023
219	287	1019
220	288	1016
221	288	1012
222	289	1009
223	290	1006
224	291	1002
225	291	998
226	292	995
227	292	991
228	293	988
229	294	986
230	295	983
231	296	979
232	296	976
233	297	973
234	298	970
235	298	967
236	299	963
237	300	960
238	300	957
239	301	954
240	301	950
241	302	948
242	303	945
243	304	942
244	304	939
245	305	936
246	306	933
247	306	930
248	307	927
249	308	924
250	308	921
251	309	918
252	310	915
253	310	912
254	311	909
255	312	906
256	312	904
257	313	901
258	314	898
259	314	895
260	315	893
261	316	890
262	316	887
263	317	884
264	317	881
265	318	879
266	319	876
267	320	874
268	320	871
269	321	869
270	322	867
271	323	864
272	323	862
273	324	859
274	325	859
275	326	856
276	327	854
277	328	852
278	328	849
279	329	847
280	330	844
281	330	841
282	331	839
283	331	836
284	332	834
285	333	832
286	334	829
287	334	827
288	335	825
289	336	823
290	336	820
291	337	818
292	338	815
293	338	813
294	339	811
295	340	809
296	341	807
297	341	805
298	342	802
299	343	800
300	343	798
301	344	795
302	345	793
303	345	791
304	346	789
305	347	787
306	347	785
307	348	782
308	349	781
309	350	779
310	350	777
311	351	774
312	352	772
313	352	770
314	353	768
315	354	766
316	354	764
317	355	761
318	355	759
319	356	757
320	357	755
321	357	753
322	358	751
323	359	749
324	359	747
325	360	745
326	361	743
327	361	741
328	362	739
329	363	737
330	364	736
331	364	734
332	365	732
333	366	730
334	366	728
